"","Age","G","GS","MP","FG","FGA","FGpct","3P","3PA","3Ppct","2P","2PA","2Ppct","eFG","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PTSZ"
"120",29,76,2,13.6,2.5,5,0.501,0.3,0.7,0.339,2.2,4.2,0.53,0.527,1.2,1.4,0.83,1.1,3,4.1,0.9,0.6,0.5,0.8,1.8,6.4,-0.362265364173246
"121",25,68,4,28.1,5.4,12.2,0.442,1.8,5.4,0.335,3.6,6.7,0.528,0.517,4.2,5.2,0.806,0.4,2.1,2.4,4.6,0.6,0.3,2.2,2.8,16.8,1.33975192812383
"122",22,27,0,15.2,1.9,4.6,0.403,0.8,3.1,0.265,1,1.5,0.683,0.492,0.3,0.4,0.75,0.6,1.8,2.4,1.1,0.5,0.2,0.7,1.4,4.9,-0.607748627485324
"123",19,72,72,32.2,7,16.5,0.427,2.3,7.1,0.327,4.7,9.3,0.503,0.497,4.8,6.7,0.713,1.2,6.6,7.8,6,1.1,0.3,3.4,1.9,21.2,2.05983616717259
"124",24,73,40,27.5,4,9.6,0.415,1.7,4.7,0.368,2.2,4.9,0.461,0.506,1,1.3,0.745,0.5,3.1,3.6,1.8,0.8,0.1,1,1.8,10.7,0.341453323988045
"125",22,6,0,8.5,1.3,3.5,0.381,0.3,1.3,0.25,1,2.2,0.462,0.429,0.2,0.3,0.5,1,1.8,2.8,0.8,0.3,0,0,0.3,3.2,-0.885962992572347
"126",32,36,22,27.5,5,12,0.413,1.6,4.6,0.348,3.4,7.5,0.454,0.479,2.2,2.8,0.782,0.6,2.5,3.1,4.8,0.8,0.1,2,2.3,13.7,0.832419850612202
"127",25,79,79,33.5,7.1,13.3,0.533,0.1,0.5,0.132,7,12.8,0.548,0.536,3.1,5.2,0.59,5.4,10.2,15.6,1.4,1.7,1.7,2.2,3.4,17.3,1.42157968256119
"128",33,59,25,20.7,1.7,4.1,0.423,0.9,2.6,0.351,0.8,1.5,0.545,0.533,0.5,0.8,0.696,0.6,2.1,2.6,1.4,0.6,0.3,0.7,2.2,4.9,-0.607748627485324
"129",24,46,44,30.2,4.7,11,0.425,0.7,2.1,0.354,3.9,8.9,0.441,0.458,1.2,1.5,0.797,0.4,3.7,4.1,6,1.5,0.5,2.3,3.6,11.3,0.439646629312877
"130",30,78,78,34.6,9.2,17.7,0.521,1.8,5,0.353,7.5,12.8,0.587,0.571,5.7,6.5,0.885,0.4,5.9,6.4,5.9,0.7,1.1,2.9,2,26,2.84538260977125
"131",20,3,0,2,0.7,1,0.667,0.3,0.3,1,0.3,0.7,0.5,0.833,0,0,0,0,0.3,0.3,0.7,0,0,0,0,1.7,-1.13144625588443
"132",22,2,0,8,0.5,2,0.25,0.5,2,0.25,0,0,0,0.375,0,0,0,0.5,0.5,1,0,0,0,0,0,1.5,-1.16417735765937
"133",24,64,64,33.7,9.1,18.7,0.484,1.2,4.1,0.3,7.8,14.6,0.535,0.517,8.2,10.1,0.804,2.5,11.1,13.6,3.7,0.7,1.9,3.5,3.3,27.5,3.09086587308332
"134",21,23,0,4.9,0.7,1.1,0.577,0,0,0,0.7,1.1,0.577,0.577,0.5,0.6,0.846,0.3,1.2,1.5,0.3,0.1,0.2,0.3,0.5,1.8,-1.11508070499695
"135",21,30,1,6.8,0.6,1.8,0.34,0.1,0.5,0.267,0.5,1.3,0.368,0.377,0,0,0,0.2,0.6,0.8,0.8,0.2,0.1,0.4,0.9,1.3,-1.19690845943431
